Food code,Start date,End date,Moisture change,Fat change,Type of fat
11422000,1/1/2009,12/31/2010,0,0,0
11422100,1/1/2009,12/31/2010,0,0,0
11423000,1/1/2009,12/31/2010,0,0,0
11424000,1/1/2009,12/31/2010,0,0,0
11425000,1/1/2009,12/31/2010,0,0,0
11426000,1/1/2009,12/31/2010,0,0,0
11427000,1/1/2009,12/31/2010,0,0,0
11430000,1/1/2009,12/31/2010,0,0,0
11431000,1/1/2009,12/31/2010,0,0,0
11432000,1/1/2009,12/31/2010,0,0,0
11432500,1/1/2009,12/31/2010,0,0,0
11433000,1/1/2009,12/31/2010,0,0,0
11433500,1/1/2009,12/31/2010,0,0,0
11444000,1/1/2009,12/31/2010,0,0,0
11445000,1/1/2009,12/31/2010,0,0,0
11446000,1/1/2009,12/31/2010,0,0,0
11459990,1/1/2009,12/31/2010,0,0,0
11460000,1/1/2009,12/31/2010,0,0,0
11460100,1/1/2009,12/31/2010,0,0,0
11460150,1/1/2009,12/31/2010,0,0,0
11460160,1/1/2009,12/31/2010,0,0,0
11460170,1/1/2009,12/31/2010,0,0,0
11460190,1/1/2009,12/31/2010,0,0,0
11460200,1/1/2009,12/31/2010,0,0,0
11460250,1/1/2009,12/31/2010,0,0,0
11460300,1/1/2009,12/31/2010,0,0,0
11460400,1/1/2009,12/31/2010,0,0,0
11460410,1/1/2009,12/31/2010,0,0,0
11460420,1/1/2009,12/31/2010,0,0,0
11460430,1/1/2009,12/31/2010,0,0,0
11460440,1/1/2009,12/31/2010,0,0,0
11461000,1/1/2009,12/31/2010,0,0,0
11461100,1/1/2009,12/31/2010,0,0,0
11461200,1/1/2009,12/31/2010,0,0,0
11461250,1/1/2009,12/31/2010,0,0,0
11461260,1/1/2009,12/31/2010,0,0,0
11461270,1/1/2009,12/31/2010,0,0,0
11461280,1/1/2009,12/31/2010,0,0,0
11480010,1/1/2009,12/31/2010,0,0,0
11480020,1/1/2009,12/31/2010,0,0,0
11480030,1/1/2009,12/31/2010,0,0,0
11480040,1/1/2009,12/31/2010,0,0,0
11511000,1/1/2009,12/31/2010,0,0,0
11511100,1/1/2009,12/31/2010,0,0,0
11511200,1/1/2009,12/31/2010,0,0,0
11511300,1/1/2009,12/31/2010,0,0,0
11511400,1/1/2009,12/31/2010,0,0,0
11512000,1/1/2009,12/31/2010,0,0,0
11512500,1/1/2009,12/31/2010,-13,0,0
11512510,1/1/2009,12/31/2010,-13,0,0
11513000,1/1/2009,12/31/2010,0,0,0
11513100,1/1/2009,12/31/2010,0,0,0
11513150,1/1/2009,12/31/2010,0,0,0
11513200,1/1/2009,12/31/2010,0,0,0
11513300,1/1/2009,12/31/2010,0,0,0
11513400,1/1/2009,12/31/2010,0,0,0
11513500,1/1/2009,12/31/2010,0,0,0
11513550,1/1/2009,12/31/2010,0,0,0
11513600,1/1/2009,12/31/2010,0,0,0
11513700,1/1/2009,12/31/2010,0,0,0
11514100,1/1/2009,12/31/2010,0,0,0
11514300,1/1/2009,12/31/2010,0,0,0
11514500,1/1/2009,12/31/2010,0,0,0
11515100,1/1/2009,12/31/2010,0,0,0
11515400,1/1/2009,12/31/2010,0,0,0
11516000,1/1/2009,12/31/2010,0,0,0
11518000,1/1/2009,12/31/2010,0,0,0
11518050,1/1/2009,12/31/2010,0,0,0
11518100,1/1/2009,12/31/2010,0,0,0
11519000,1/1/2009,12/31/2010,0,0,0
