Food code,Start date,End date,Seq num,SR code,SR description,Amount,Measure,Portion code,Retention code,Flag,Weight
67106010,01-Jan-13,31-Dec-14,1,3163,"Babyfood, fruit, bananas with apples and pears, strained",100,GM,0,0,0,100
67106030,01-Jan-13,31-Dec-14,1,33878,"Babyfood, GERBER, Banana with orange medley",100,GM,0,0,0,100
67106050,01-Jan-13,31-Dec-14,1,3995,"Babyfood, banana with mixed berries, strained",100,GM,0,0,0,100
67108000,01-Jan-13,31-Dec-14,1,3130,"Babyfood, fruit, peaches, strained",50,GM,0,0,0,50
67108000,01-Jan-13,31-Dec-14,2,3131,"Babyfood, fruit, peaches, junior",50,GM,0,0,0,50
67108010,01-Jan-13,31-Dec-14,1,3130,"Babyfood, fruit, peaches, strained",100,GM,0,0,0,100
67108020,01-Jan-13,31-Dec-14,1,3131,"Babyfood, fruit, peaches, junior",100,GM,0,0,0,100
67108030,01-Jan-13,31-Dec-14,1,3161,"Babyfood, peaches, dices, toddler",100,GM,0,0,0,100
67109000,01-Jan-13,31-Dec-14,1,3132,"Babyfood, fruit, pears, strained",50,GM,0,0,0,50
67109000,01-Jan-13,31-Dec-14,2,3133,"Babyfood, fruit, pears, junior",50,GM,0,0,0,50
67109010,01-Jan-13,31-Dec-14,1,3132,"Babyfood, fruit, pears, strained",100,GM,0,0,0,100
67109020,01-Jan-13,31-Dec-14,1,3133,"Babyfood, fruit, pears, junior",100,GM,0,0,0,100
67109030,01-Jan-13,31-Dec-14,1,3141,"Babyfood, pears, dices, toddler",100,GM,0,0,0,100
67110000,01-Jan-13,31-Dec-14,1,3139,"Babyfood, prunes, without vitamin c, strained",100,GM,0,0,0,100
67113000,01-Jan-13,31-Dec-14,1,3116,"Babyfood, fruit, applesauce, strained",25,GM,0,0,0,25
67113000,01-Jan-13,31-Dec-14,2,3132,"Babyfood, fruit, pears, strained",25,GM,0,0,0,25
67113000,01-Jan-13,31-Dec-14,3,3117,"Babyfood, fruit, applesauce, junior",25,GM,0,0,0,25
67113000,01-Jan-13,31-Dec-14,4,3133,"Babyfood, fruit, pears, junior",25,GM,0,0,0,25
67113010,01-Jan-13,31-Dec-14,1,3116,"Babyfood, fruit, applesauce, strained",100,GM,0,0,0,100
67113010,01-Jan-13,31-Dec-14,2,3132,"Babyfood, fruit, pears, strained",100,GM,0,0,0,100
67113020,01-Jan-13,31-Dec-14,1,3117,"Babyfood, fruit, applesauce, junior",50,GM,0,0,0,50
67113020,01-Jan-13,31-Dec-14,2,3133,"Babyfood, fruit, pears, junior",50,GM,0,0,0,50
67114000,01-Jan-13,31-Dec-14,1,3158,"Babyfood, fruit, pears and pineapple, strained",50,GM,0,0,0,50
67114000,01-Jan-13,31-Dec-14,2,3159,"Babyfood, fruit, pears and pineapple, junior",50,GM,0,0,0,50
67114010,01-Jan-13,31-Dec-14,1,3158,"Babyfood, fruit, pears and pineapple, strained",100,GM,0,0,0,100
67114020,01-Jan-13,31-Dec-14,1,3159,"Babyfood, fruit, pears and pineapple, junior",100,GM,0,0,0,100
67202000,01-Jan-13,31-Dec-14,1,3166,"Babyfood, juice, apple",100,GM,0,0,0,100
67202010,01-Jan-13,31-Dec-14,1,3269,"Babyfood, juice, apple, with calcium",100,GM,0,0,0,100
67203000,01-Jan-13,31-Dec-14,1,3171,"Babyfood, juice, apple and prune",100,GM,0,0,0,100
67203200,01-Jan-13,31-Dec-14,1,3167,"Babyfood, apple-banana juice",100,GM,0,0,0,100
67203400,01-Jan-13,31-Dec-14,1,43535,"Babyfood, juice, apple - cherry",100,GM,0,0,0,100
67203500,01-Jan-13,31-Dec-14,1,3265,"Babyfood, juice, apple and grape",100,GM,0,0,0,100
67203600,01-Jan-13,31-Dec-14,1,3168,"Babyfood, juice, apple and peach",100,GM,0,0,0,100
67203700,01-Jan-13,31-Dec-14,1,3171,"Babyfood, juice, apple and prune",100,GM,0,0,0,100
67203800,01-Jan-13,31-Dec-14,1,44074,"Babyfood, grape juice, no sugar, canned",100,GM,0,0,0,100
67204000,01-Jan-13,31-Dec-14,1,3179,"Babyfood, juice, mixed fruit",100,GM,0,0,0,100
67204100,01-Jan-13,31-Dec-14,1,3267,"Babyfood, juice, fruit punch, with calcium",100,GM,0,0,0,100
67205000,01-Jan-13,31-Dec-14,1,3172,"Babyfood, juice, orange",100,GM,0,0,0,100
67211000,01-Jan-13,31-Dec-14,1,3174,"Babyfood, juice, orange and apple and banana",100,GM,0,0,0,100
67212000,01-Jan-13,31-Dec-14,1,43408,"Babyfood, juice, pear",100,GM,0,0,0,100
67230000,01-Jan-13,31-Dec-14,1,42266,"Babyfood, juice, apple-sweet potato",100,GM,0,0,0,100
67230500,01-Jan-13,31-Dec-14,1,42267,"Babyfood, juice, orange-carrot",100,GM,0,0,0,100
67250100,01-Jan-13,31-Dec-14,1,42119,"Babyfood, banana juice with low fat yogurt",100,GM,0,0,0,100
67250150,01-Jan-13,31-Dec-14,1,42120,"Babyfood, mixed fruit juice with low fat yogurt",100,GM,0,0,0,100
67260000,01-Jan-13,31-Dec-14,1,3301,"Babyfood, beverage, GERBER GRADUATE FRUIT SPLASHERS",100,GM,0,0,0,100
67304000,01-Jan-13,31-Dec-14,1,3134,"Babyfood, fruit, plums with tapioca, without ascorbic acid, strained",50,GM,0,0,0,50
67304000,01-Jan-13,31-Dec-14,2,3135,"Babyfood, fruit, plums with tapioca, without ascorbic acid, junior",50,GM,0,0,0,50
67304010,01-Jan-13,31-Dec-14,1,3134,"Babyfood, fruit, plums with tapioca, without ascorbic acid, strained",100,GM,0,0,0,100
67304020,01-Jan-13,31-Dec-14,1,3135,"Babyfood, fruit, plums with tapioca, without ascorbic acid, junior",100,GM,0,0,0,100
67304030,01-Jan-13,31-Dec-14,1,3293,"Babyfood, plums, bananas and rice, strained",100,GM,0,0,0,100
67304500,01-Jan-13,31-Dec-14,1,3136,"Babyfood, prunes with oatmeal, strained",100,GM,0,0,2,100
67307000,01-Jan-13,31-Dec-14,1,3118,"Babyfood, fruit, apricot with tapioca, strained",50,GM,0,0,0,50
67307000,01-Jan-13,31-Dec-14,2,3128,"Babyfood, fruit, apricot with tapioca, junior",50,GM,0,0,0,50
67307010,01-Jan-13,31-Dec-14,1,3118,"Babyfood, fruit, apricot with tapioca, strained",100,GM,0,0,0,100
67307020,01-Jan-13,31-Dec-14,1,3128,"Babyfood, fruit, apricot with tapioca, junior",100,GM,0,0,0,100
67308000,01-Jan-13,31-Dec-14,1,3129,"Babyfood, fruit, bananas with tapioca, strained",50,GM,0,0,0,50
67308000,01-Jan-13,31-Dec-14,2,3280,"Babyfood, fruit, bananas with tapioca, junior",50,GM,0,0,0,50
67308020,01-Jan-13,31-Dec-14,1,3280,"Babyfood, fruit, bananas with tapioca, junior",100,GM,0,0,0,100
67309000,01-Jan-13,31-Dec-14,1,3156,"Babyfood, fruit, bananas and pineapple with tapioca, junior",50,GM,0,0,0,50
67309000,01-Jan-13,31-Dec-14,2,3157,"Babyfood, fruit, bananas and pineapple with tapioca, strained",50,GM,0,0,0,50
67309010,01-Jan-13,31-Dec-14,1,3157,"Babyfood, fruit, bananas and pineapple with tapioca, strained",100,GM,0,0,0,100
67309020,01-Jan-13,31-Dec-14,1,3156,"Babyfood, fruit, bananas and pineapple with tapioca, junior",100,GM,0,0,0,100
67309030,01-Jan-13,31-Dec-14,1,3994,"Babyfood, fruit, banana and strawberry, junior",100,GM,0,0,0,100
67404000,01-Jan-13,31-Dec-14,1,3235,"Babyfood, dessert, fruit dessert, without ascorbic acid, strained",50,GM,0,0,0,50
67404000,01-Jan-13,31-Dec-14,2,3236,"Babyfood, dessert, fruit dessert, without ascorbic acid, junior",50,GM,0,0,0,50
67404010,01-Jan-13,31-Dec-14,1,3235,"Babyfood, dessert, fruit dessert, without ascorbic acid, strained",100,GM,0,0,0,100
67404020,01-Jan-13,31-Dec-14,1,3236,"Babyfood, dessert, fruit dessert, without ascorbic acid, junior",100,GM,0,0,0,100
67404050,01-Jan-13,31-Dec-14,1,43585,"Babyfood, fruit supreme dessert",100,GM,0,0,0,100
67404070,01-Jan-13,31-Dec-14,1,42150,"Babyfood, apple yogurt dessert, strained",100,GM,0,0,0,100
67404110,01-Jan-13,31-Dec-14,1,43550,"Babyfood, banana apple dessert, strained",100,GM,0,0,0,100
67404300,01-Jan-13,31-Dec-14,1,43537,"Babyfood, dessert, blueberry yogurt, strained",100,GM,0,0,0,100
67404500,01-Jan-13,31-Dec-14,1,43523,"Babyfood, mixed fruit yogurt, strained",100,GM,0,0,0,100
67404550,01-Jan-13,31-Dec-14,1,3222,"Babyfood, cherry cobbler, junior",100,GM,0,0,0,100
67405000,01-Jan-13,31-Dec-14,1,3227,"Babyfood, dessert, peach cobbler, strained",50,GM,0,0,0,50
67405000,01-Jan-13,31-Dec-14,2,3228,"Babyfood, dessert, peach cobbler, junior",50,GM,0,0,0,50
67405010,01-Jan-13,31-Dec-14,1,3227,"Babyfood, dessert, peach cobbler, strained",100,GM,0,0,0,100
67405020,01-Jan-13,31-Dec-14,1,3228,"Babyfood, dessert, peach cobbler, junior",100,GM,0,0,0,100
67408010,01-Jan-13,31-Dec-14,1,43004,"Babyfood, dessert, banana pudding, strained",100,GM,0,0,0,100
67408500,01-Jan-13,31-Dec-14,1,43539,"Babyfood, dessert, banana yogurt, strained",100,GM,0,0,0,100
67410000,01-Jan-13,31-Dec-14,1,3224,"Babyfood, dessert, cherry vanilla pudding, strained",50,GM,0,0,0,50
67410000,01-Jan-13,31-Dec-14,2,3225,"Babyfood, dessert, cherry vanilla pudding, junior",50,GM,0,0,0,50
67412000,01-Jan-13,31-Dec-14,1,3220,"Babyfood, dessert, dutch apple, strained",50,GM,0,0,0,50
67412000,01-Jan-13,31-Dec-14,2,3221,"Babyfood, dessert, dutch apple, junior",50,GM,0,0,0,50
67412010,01-Jan-13,31-Dec-14,1,3220,"Babyfood, dessert, dutch apple, strained",100,GM,0,0,0,100
67412020,01-Jan-13,31-Dec-14,1,3221,"Babyfood, dessert, dutch apple, junior",100,GM,0,0,0,100
67413700,01-Jan-13,31-Dec-14,1,43536,"Babyfood, dessert, peach yogurt",100,GM,0,0,0,100
67414010,01-Jan-13,31-Dec-14,1,3233,"Babyfood, dessert, fruit pudding, pineapple, strained",100,GM,0,0,0,100
67414100,01-Jan-13,31-Dec-14,1,3140,"Babyfood, fruit dessert, mango with tapioca",100,GM,0,155,0,100
